2025-03-21 02:35:42 status unpacked init-system-helpers:all 1.66ubuntu1
2025-03-21 02:35:42 install libpam-modules:amd64 <none> 1.5.3-7ubuntu2
2025-03-21 02:35:42 status half-installed libpam-modules:amd64 1.5.3-7ubuntu2
2025-03-21 02:35:43 status unpacked libpam-modules:amd64 1.5.3-7ubuntu2
2025-03-21 02:35:43 install base-passwd:amd64 <none> 3.6.4
2025-03-21 02:35:43 status half-installed base-passwd:amd64 3.6.4
2025-03-21 02:35:43 status unpacked base-passwd:amd64 3.6.4
2025-03-21 02:35:43 install libmount1:amd64 <none> 2.40.2-1ubuntu1
2025-03-21 02:35:43 status half-installed libmount1:amd64 2.40.2-1ubuntu1
2025-03-21 02:35:43 status unpacked libmount1:amd64 2.40.2-1ubuntu1
2025-03-21 02:35:43 install libpam-modules-bin:amd64 <none> 1.5.3-7ubuntu2
2025-03-21 02:35:43 status half-installed libpam-modules-bin:amd64 1.5.3-7ubuntu2
2025-03-21 02:35:43 status unpacked libpam-modules-bin:amd64 1.5.3-7ubuntu2
2025-03-21 02:35:43 install libtinfo6:amd64 <none> 6.5-2
2025-03-21 02:35:43 status half-installed libtinfo6:amd64 6.5-2
2025-03-21 02:35:43 status unpacked libtinfo6:amd64 6.5-2
2025-03-21 02:35:43 install libdb5.3t64:amd64 <none> 5.3.28+dfsg2-7
2025-03-21 02:35:43 status half-installed libdb5.3t64:amd64 5.3.28+dfsg2-7
2025-03-21 02:35:43 status unpacked libdb5.3t64:amd64 5.3.28+dfsg2-7
2025-03-21 02:35:43 install zlib1g:amd64 <none> 1:1.3.dfsg+really1.3.1-1ubuntu1
2025-03-21 02:35:43 status half-installed zlib1g:amd64 1:1.3.dfsg+really1.3.1-1ubuntu1
2025-03-21 02:35:43 status unpacked zlib1g:amd64 1:1.3.dfsg+really1.3.1-1ubuntu1
2025-03-21 02:35:43 install libacl1:amd64 <none> 2.3.2-2
2025-03-21 02:35:43 status half-installed libacl1:amd64 2.3.2-2
2025-03-21 02:35:43 status unpacked libacl1:amd64 2.3.2-2
2025-03-21 02:35:43 install gcc-14-base:amd64 <none> 14.2.0-4ubuntu2
2025-03-21 02:35:43 status half-installed gcc-14-base:amd64 14.2.0-4ubuntu2
2025-03-21 02:35:43 status unpacked gcc-14-base:amd64 14.2.0-4ubuntu2
2025-03-21 02:35:43 install sysvinit-utils:amd64 <none> 3.08-6ubuntu3
2025-03-21 02:35:43 status half-installed sysvinit-utils:amd64 3.08-6ubuntu3
2025-03-21 02:35:43 status unpacked sysvinit-utils:amd64 3.08-6ubuntu3
2025-03-21 02:35:43 install diffutils:amd64 <none> 1:3.10-1build1
2025-03-21 02:35:43 status half-installed diffutils:amd64 1:3.10-1build1
